NOUN, ADJ, 
벗어나지, 게임성에서, 한국 게임계가 20여년 전 수준 게임성에서 벗어나지 못하고 각종 규제의 명분을 제공하게 된 일등공신. 처참한 퀄리티의 가챠 유사 게임으로 일부 사리분별 안되는 아저씨들의 단물을 빨아먹는 수법으로 명맥을 이어나갔지만 이제는 본래의 가치로 돌아갈 때다. 반소비자적인 기업이 만드는 게임으로 게임사에 악영향만 미친 폐기물.
pocket, deep, Money~~~~~~~~~~~~must have a deep pocket to play😡
game, Good, Good game
매출을, 이렇게, 사전예약 안했다면 시작도 말라..어떤 사람은 7검에 4셋 시작이고 나머진 무일푼으로 시작해야함. 그나마 용계라도 가야지 돈을 버는데 (다른 사냥터는 100원 이하..솔직히 많이 높여서 말함 10원대 단위로 돈이 떨어짐) 사냥하다 물약 하나 빨면 손해임. 변줌 물약 인형줌서 이건 어쩔건데 진짜 인내심을 가지고 몇일 하다 삭제하기 전에 리뷰 함 남겨본다. 추억을 느낄라다가 추억과 멘탈이 동시에 망가지는 갓겜임. 뭐 이렇게 써도 리지니에 매출을 탑이니까. 너네도 개돼지 패키지 잘 사서 써라 칭구들
답변, 치료좀, 핸드폰 기기변경후 번호 바꼇는데 전번호로 자꾸 인증하라고 뜨고 구글로 로그인한거라 구글 개인정도 지금 번호로 바꿔도 구번호로 계속 인증 나오는 버그 언제 고칠껍니까? 월급 처받고 일하는거면 일을 재대로 하세요 해당계정 접속이 안되는구만 먼 해당계정으로 문의하라고 개소리 자빠지셧어요? 내 댓글 제대로 읽고 답변하신거에요? 난독증이면 치료좀 받으세요 답변 ㅎ
답변, 받으세요, 핸드폰 기기변경후 번호 바꼇는데 전번호로 자꾸 인증하라고 뜨고 구글로 로그인한거라 구글 개인정도 지금 번호로 바꿔도 구번호로 계속 인증 나오는 버그 언제 고칠껍니까? 월급 처받고 일하는거면 일을 재대로 하세요 해당계정 접속이 안되는구만 먼 해당계정으로 문의하라고 개소리 자빠지셧어요? 내 댓글 제대로 읽고 답변하신거에요? 난독증이면 치료좀 받으세요 답변 ㅎ
경험치, 그리고, 자유시장 경제원리를 적용해야지 왜 개발사에서 강제적인 경제적인 조절을 할려고 하는지 ??? 그리고 아인사하드 경험치 주는 나무잎사구 그건 뭐임??? 박근혜처럼 숨쉬는 모든걸 세금먹일라는건가요??? 아인이 없으면 사냥을 해도 돈이 안모이고 적자사냥만되고 렙업도 안되고 렙업도 중요한 게임에 렙업을 하기위해선 과금을 해야 하는 이런 어처구니 없는 시스템은 뭐하는건가요 ?? 자동차를 한대 구매한다고 쳐도 그 자동차에 대한 보험 취등록세 검사를완료 하면 기름만 넣고 타면 되잔아 ?? 근데 이 게임은 자동차를 사면 모든 세금을 다 납부하고도 기름값 이외에 자동차를 시동을 거는것만으로도 세금을 먹이는거랑 뭐가 다른가 ????
세금먹일라는건가요, 숨쉬는, 자유시장 경제원리를 적용해야지 왜 개발사에서 강제적인 경제적인 조절을 할려고 하는지 ??? 그리고 아인사하드 경험치 주는 나무잎사구 그건 뭐임??? 박근혜처럼 숨쉬는 모든걸 세금먹일라는건가요??? 아인이 없으면 사냥을 해도 돈이 안모이고 적자사냥만되고 렙업도 안되고 렙업도 중요한 게임에 렙업을 하기위해선 과금을 해야 하는 이런 어처구니 없는 시스템은 뭐하는건가요 ?? 자동차를 한대 구매한다고 쳐도 그 자동차에 대한 보험 취등록세 검사를완료 하면 기름만 넣고 타면 되잔아 ?? 근데 이 게임은 자동차를 사면 모든 세금을 다 납부하고도 기름값 이외에 자동차를 시동을 거는것만으로도 세금을 먹이는거랑 뭐가 다른가 ????
되잔아, 타면, 자유시장 경제원리를 적용해야지 왜 개발사에서 강제적인 경제적인 조절을 할려고 하는지 ??? 그리고 아인사하드 경험치 주는 나무잎사구 그건 뭐임??? 박근혜처럼 숨쉬는 모든걸 세금먹일라는건가요??? 아인이 없으면 사냥을 해도 돈이 안모이고 적자사냥만되고 렙업도 안되고 렙업도 중요한 게임에 렙업을 하기위해선 과금을 해야 하는 이런 어처구니 없는 시스템은 뭐하는건가요 ?? 자동차를 한대 구매한다고 쳐도 그 자동차에 대한 보험 취등록세 검사를완료 하면 기름만 넣고 타면 되잔아 ?? 근데 이 게임은 자동차를 사면 모든 세금을 다 납부하고도 기름값 이외에 자동차를 시동을 거는것만으로도 세금을 먹이는거랑 뭐가 다른가 ????
이외에, 납부하고도, 자유시장 경제원리를 적용해야지 왜 개발사에서 강제적인 경제적인 조절을 할려고 하는지 ??? 그리고 아인사하드 경험치 주는 나무잎사구 그건 뭐임??? 박근혜처럼 숨쉬는 모든걸 세금먹일라는건가요??? 아인이 없으면 사냥을 해도 돈이 안모이고 적자사냥만되고 렙업도 안되고 렙업도 중요한 게임에 렙업을 하기위해선 과금을 해야 하는 이런 어처구니 없는 시스템은 뭐하는건가요 ?? 자동차를 한대 구매한다고 쳐도 그 자동차에 대한 보험 취등록세 검사를완료 하면 기름만 넣고 타면 되잔아 ?? 근데 이 게임은 자동차를 사면 모든 세금을 다 납부하고도 기름값 이외에 자동차를 시동을 거는것만으로도 세금을 먹이는거랑 뭐가 다른가 ????
version, Global, Global version please. I know korean language but this will better if can use english.
language, korean, Global version please. I know korean language but this will better if can use english.
뭐하는거야, 안고치고, 샤오미 홍미노트3인데 리니지 9월말쯤 패치 이후로 홍미노트 시리즈폰 전체 다 실행불가입니다. 패치 똑바로좀하고 빨리좀 고쳐요ㅡㅡ 아직도 안고치고 뭐하는거야
game, Nice, Nice game
